id,image,ES_ca,price,price_unit
1,https://storage.googleapis.com/almarcat-static/product_types/1-1210580242pikC.jpg,Albergínia,"1,35",kg
2,https://storage.googleapis.com/almarcat-static/product_types/garlic-isolated-on-white.jpg,All tendre,"1,15",bunch
3,https://storage.googleapis.com/almarcat-static/product_types/celery-5509677_640.png,Api,2,kg
4,https://storage.googleapis.com/almarcat-static/product_types/83ed1355ef8dea73910a0bc4b0cea984.png,Bleda,"1,2",bunch
5,https://storage.googleapis.com/almarcat-static/product_types/Broccoli_DSC00862.png,Bròculi,2,kg
6,https://storage.googleapis.com/almarcat-static/product_types/lettuce-isolated-5307334_640.jpg,Enciam,"0,8",unit
7,https://storage.googleapis.com/almarcat-static/product_types/broquil-1060498_640.jpg,Brócoli,"1,35",kg
8,https://storage.googleapis.com/almarcat-static/product_types/4b0c493fb0af4053beb923f12f1be044.jpg,Carbassó,"1,50",kg
9,https://storage.googleapis.com/almarcat-static/product_types/41bb8cdd684148e5928f4de129d6586f.jpg,Coliflor,"1,85",unit
10,https://storage.googleapis.com/almarcat-static/product_types/20c0b872fc17410cbc3b1b9643e4b9df.png,Col,"1,60",unit
11,https://storage.googleapis.com/almarcat-static/product_types/cogombre.jpg,Cogombre,"1,20",kg